Layer_0,Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Layer_6,Layer_7,Layer_8,Layer_9,Layer_10,Layer_11,Layer_12,Layer_13,Layer_14,Layer_15,Layer_16,Layer_17,Layer_18,Layer_19,Layer_20,Layer_21,Layer_22,Layer_23,Layer_24,Layer_25,Layer_26,Layer_27,Layer_28,Layer_29,Layer_30,Layer_31,Layer_32,Layer_33,Layer_34,Layer_35,Layer_36,Layer_37,Layer_38,Layer_39,Layer_40,Layer_41,Layer_42,Layer_43,Layer_44,Layer_45,Layer_46,Layer_47,Layer_48,Layer_49,Layer_50,Layer_51,Layer_52,Layer_53,Layer_54,Layer_55,Layer_56,Layer_57,Layer_58,Layer_59,Layer_60,Layer_61,Layer_62,Layer_63,Layer_64,Layer_65,Layer_66,Layer_67,Layer_68,Layer_69,Layer_70,Layer_71,Layer_72,Layer_73,Layer_74,Layer_75,Layer_76,Layer_77,Layer_78,Layer_79,Layer_80,Layer_81,Layer_82,Layer_83,Layer_84,Layer_85,Layer_86,Layer_87,Layer_88,Layer_89,Layer_90,Layer_91,Layer_92,Layer_93,Layer_94,Layer_95,Layer_96,Layer_97,Layer_98,Layer_99,Layer_100,Layer_101,Layer_102,Optimization Accuracy,Validation Accuracy,Test Accuracy,Non-Zero Weights
"(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.0, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.03, 0)","(0.01, 0)","(0.02, 0)","(0.02, 0)","(0.02, 0)","(0.03, 0)","(0.01, 0)","(0.01, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.02, 0)","(0.03, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.03, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.01, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.04, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.01, 0)","(0.02, 0)","(0.03, 0)","(0.02, 0)","(0.02, 0)","(0.01, 0)","(0.03, 0)","(0.01, 0)","(0.03, 0)","(0.02, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.07, 0)","(0.1, 0)","(0.1, 0)","(0.0, 0)","(0.1, 0)","(0.1, 0)","(0.08, 0)","(0.11, 0)","(0.1, 0)","(0.04, 0)",0.981,0.9815,0.9286,12347994
"(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.0, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.03, 0)","(0.01, 0)","(0.02, 0)","(0.02, 0)","(0.02, 0)","(0.03, 0)","(0.01, 0)","(0.01, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.02, 0)","(0.03, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.03, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.01, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.04, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.03, 0)","(0.01, 0)","(0.02, 0)","(0.03, 0)","(0.02, 0)","(0.02, 0)","(0.01, 0)","(0.03, 0)","(0.01, 0)","(0.03, 0)","(0.02, 0)","(0.02, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.07, 0)","(0.1, 0)","(0.1, 0)","(0.0, 0)","(0.1, 0)","(0.1, 0)","(0.08, 0)","(0.11, 0)","(0.1, 0)","(0.1, 0)",0.98,0.9805,0.9266,12333808
"(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.0, 0)","(0.02, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.01, 0)","(0.02, 0)","(0.02, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.01, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.02, 0)","(0.03, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.04, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.03, 0)","(0.02, 0)","(0.02, 0)","(0.03, 0)","(0.02, 0)","(0.02, 0)","(0.01, 0)","(0.03, 0)","(0.01, 0)","(0.03, 0)","(0.02, 0)","(0.02, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.07, 0)","(0.1, 0)","(0.1, 0)","(0.0, 0)","(0.1, 0)","(0.1, 0)","(0.08, 0)","(0.11, 0)","(0.1, 0)","(0.1, 0)",0.979,0.9795,0.9264,12330103
"(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.0, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.02, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.01, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.02, 0)","(0.03, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.03, 0)","(0.02, 0)","(0.02, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.04, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.02, 0)","(0.03, 0)","(0.02, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.01, 0)","(0.03, 0)","(0.01, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.07, 0)","(0.1, 0)","(0.1, 0)","(0.0, 0)","(0.1, 0)","(0.1, 0)","(0.08, 0)","(0.11, 0)","(0.1, 0)","(0.1, 0)",0.978,0.979,0.9268,12326536
"(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.03, 0)","(0.03, 0)","(0.01, 0)","(0.0, 0)","(0.02, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.01, 0)","(0.02, 0)","(0.02, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.01, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.02, 0)","(0.03, 0)","(0.01, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.03, 0)","(0.02, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.04, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.01, 0)","(0.02, 0)","(0.03, 0)","(0.02, 0)","(0.02, 0)","(0.01, 0)","(0.03, 0)","(0.01, 0)","(0.03, 0)","(0.02, 0)","(0.02, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.07, 0)","(0.1, 0)","(0.1, 0)","(0.0, 0)","(0.1, 0)","(0.1, 0)","(0.1, 0)","(0.11, 0)","(0.1, 0)","(0.1, 0)",0.977,0.9795,0.9268,12324985
"(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.0, 0)","(0.02, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.02, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.01, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.02, 0)","(0.03, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.03, 0)","(0.02, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.04, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.01, 0)","(0.02, 0)","(0.03, 0)","(0.02, 0)","(0.02, 0)","(0.01, 0)","(0.03, 0)","(0.01, 0)","(0.03, 0)","(0.02, 0)","(0.02, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.1, 0)","(0.1, 0)","(0.1, 0)","(0.0, 0)","(0.1, 0)","(0.1, 0)","(0.1, 0)","(0.11, 0)","(0.1, 0)","(0.1, 0)",0.976,0.976,0.921,12315207
"(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.0, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.01, 0)","(0.02, 0)","(0.02, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.01, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.03, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.03, 0)","(0.02, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.04, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.03, 0)","(0.01, 0)","(0.02, 0)","(0.03, 0)","(0.02, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.02, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.1, 0)","(0.1, 0)","(0.1, 0)","(0.0, 0)","(0.1, 0)","(0.1, 0)","(0.1, 0)","(0.11, 0)","(0.1, 0)","(0.1, 0)",0.975,0.9745,0.92,12310813
"(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.0, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.01, 0)","(0.02, 0)","(0.02, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.01, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.03, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.04, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.03, 0)","(0.01, 0)","(0.02, 0)","(0.03, 0)","(0.02, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.02, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.1, 0)","(0.1, 0)","(0.1, 0)","(0.0, 0)","(0.1, 0)","(0.1, 0)","(0.1, 0)","(0.11, 0)","(0.1, 0)","(0.1, 0)",0.973,0.974,0.9198,12309732
"(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.0, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.01, 0)","(0.01, 0)","(0.02, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.01, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.03, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.03, 0)","(0.04, 0)","(0.03, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.04, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.01, 0)","(0.02, 0)","(0.03, 0)","(0.02, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.1, 0)","(0.1, 0)","(0.1, 0)","(0.0, 0)","(0.1, 0)","(0.1, 0)","(0.1, 0)","(0.11, 0)","(0.1, 0)","(0.1, 0)",0.972,0.973,0.9191,12307254
"(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.0, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.01, 0)","(0.02, 0)","(0.02, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.01, 0)","(0.03, 0)","(0.03, 0)","(0.01, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.02, 0)","(0.03, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.03, 0)","(0.04, 0)","(0.03, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.01, 0)","(0.02, 0)","(0.03, 0)","(0.02, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.11, 0)","(0.1, 0)","(0.1, 0)","(0.0, 0)","(0.1, 0)","(0.1, 0)","(0.1, 0)","(0.11, 0)","(0.1, 0)","(0.1, 0)",0.971,0.9715,0.9153,12305534
