Th1,Th2,Validation Accuracy,Test Accuracy,Non-Zero Weights
-0.049968149408354146,0.04993745513186868,0.107,0.1041,376387
-0.004116605851378099,0.005324041893038354,0.9945,0.9437,16775784
-0.02383122716764496,0.023282485416846303,0.936,0.8845,4116537
-0.015098347958832947,0.014589800855737217,0.9875,0.9371,8546716
-0.00989784040178561,0.010243114128443441,0.9945,0.9436,12069859
-0.005326580357962381,0.005782239207861542,0.995,0.944,15988690
-0.011757661348758237,0.011940452884002976,0.9945,0.9435,10676811
-0.029279078370318432,0.02891697777350202,0.684,0.6643,2463810
-0.02794145152550454,0.02742125337418727,0.786,0.7669,2814206
-0.03565765217524091,0.03683300133525537,0.229,0.2184,1257819
-0.013782117803567383,0.01401528154746622,0.9925,0.9415,9203161
-0.037477555756621976,0.03985682995910151,0.1485,0.1442,1011403
-0.031059507050961804,0.0307837624122997,0.589,0.574,2072762
-0.03296914179002698,0.03308586099201375,0.4895,0.4852,1698227
-0.026534747985617328,0.025999060432231803,0.8615,0.8295,3212084
-0.029946300483470085,0.029493851439439202,0.6375,0.6111,2321703
-0.031053344116097233,0.03092133688461629,0.5655,0.5567,2061370
-0.024610325385673947,0.023948575925685587,0.922,0.8749,3853888
-0.03380075612991508,0.034219480822624056,0.3645,0.3685,1548665
-0.025343107740557945,0.024963024420721597,0.8895,0.8532,3563141
-0.031386115620632246,0.03155384358565162,0.499,0.4984,1972028
-0.02713412407433963,0.026723773567730688,0.835,0.8016,3021509
-0.03534524770180726,0.035915688962297056,0.2675,0.2621,1327971
-0.03439532038807615,0.035085241136917286,0.343,0.3314,1446890
-0.026162278716227137,0.02559655577349615,0.88,0.8403,3329578
-0.03134250354426344,0.03108055127203419,0.534,0.5168,2016475
-0.03497336010220428,0.03573610979855223,0.3055,0.3031,1365435
-0.04282257956317128,0.0442939604765079,0.1425,0.1488,643283
-0.02747204048288722,0.02693804849780978,0.8265,0.7896,2942578
-0.02942723652445138,0.029201559514616993,0.651,0.6355,2415634
-0.014658244920360563,0.014538781769746538,0.9925,0.9434,8719252
-0.04385855753603989,0.04568974319363835,0.1315,0.1386,579828
-0.03346916190476814,0.03385512231598084,0.4365,0.4313,1600746
-0.02966448439704776,0.029341757325036792,0.6335,0.6192,2371488
-0.03513581470991157,0.035951871477483216,0.2765,0.2754,1341228
-0.03458752406422877,0.03501520744952139,0.308,0.3025,1436022
-0.025673103266902177,0.02520876257040189,0.8945,0.8545,3468388
-0.02942723652445138,0.028915244862591255,0.6775,0.6547,2445054
-0.03351602256267526,0.034001076732538695,0.3925,0.3926,1587251
-0.033557696920739455,0.034057605530983935,0.3725,0.3737,1579869
-0.04996811230140132,0.0498723340263599,0.1,0.1036,377341
-0.037477555756621976,0.04015260907665441,0.14,0.1381,1000667
-0.03309893840604563,0.03331054033302512,0.4685,0.4742,1670691
-0.02383122716764496,0.023555894732978797,0.9245,0.8746,4071847
-0.02794145152550454,0.02739519717253291,0.792,0.7698,2817383
-0.02713412407433963,0.02685462002006215,0.816,0.79,3005439
-0.03321919987180408,0.03331054033302512,0.446,0.4438,1659934
-0.03351602256267526,0.033941854373082385,0.415,0.4164,1591080
-0.03310476563523368,0.033347882791966404,0.46,0.4691,1667566
-0.03344349562357482,0.03393644943598134,0.419,0.4183,1597751
