Layer_0,Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Layer_6,Layer_7,Layer_8,Layer_9,Layer_10,Layer_11,Layer_12,Layer_13,Layer_14,Layer_15,Layer_16,Layer_17,Layer_18,Layer_19,Layer_20,Layer_21,Layer_22,Layer_23,Layer_24,Layer_25,Layer_26,Layer_27,Layer_28,Layer_29,Layer_30,Layer_31,Layer_32,Layer_33,Layer_34,Optimization Accuracy,Validation Accuracy,Test Accuracy,Non-Zero Weights
"(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.03, 0)","(0.03, 0)","(0.0, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.08, 0)","(0.06, 0)","(0.0, 0)","(0.04, 0)","(0.1, 0)","(0.1, 0)","(0.1, 0)",0.989,0.9765,0.9219,8142142
"(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.03, 0)","(0.03, 0)","(0.0, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.08, 0)","(0.06, 0)","(0.0, 0)","(0.04, 0)","(0.1, 0)","(0.1, 0)","(0.1, 0)",0.989,0.9765,0.9219,8142142
"(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.03, 0)","(0.03, 0)","(0.0, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.08, 0)","(0.06, 0)","(0.0, 0)","(0.04, 0)","(0.1, 0)","(0.1, 0)","(0.1, 0)",0.989,0.9765,0.9219,8142142
"(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.03, 0)","(0.03, 0)","(0.0, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.08, 0)","(0.07, 0)","(0.0, 0)","(0.04, 0)","(0.1, 0)","(0.1, 0)","(0.1, 0)",0.988,0.976,0.9215,8131915
"(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.03, 0)","(0.03, 0)","(0.0, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.08, 0)","(0.07, 0)","(0.0, 0)","(0.04, 0)","(0.1, 0)","(0.1, 0)","(0.1, 0)",0.988,0.976,0.9215,8131915
"(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.03, 0)","(0.01, 0)","(0.0, 0)","(0.02, 0)","(0.03, 0)","(0.02, 0)","(0.03, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.06, 0)","(0.1, 0)","(0.0, 0)","(0.08, 0)","(0.1, 0)","(0.1, 0)","(0.1, 0)",0.987,0.973,0.9154,8089462
"(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.03, 0)","(0.01, 0)","(0.0, 0)","(0.02, 0)","(0.03, 0)","(0.02, 0)","(0.03, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.06, 0)","(0.1, 0)","(0.0, 0)","(0.08, 0)","(0.1, 0)","(0.1, 0)","(0.1, 0)",0.987,0.973,0.9154,8089462
"(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.03, 0)","(0.03, 0)","(0.0, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.07, 0)","(0.1, 0)","(0.0, 0)","(0.08, 0)","(0.1, 0)","(0.1, 0)","(0.1, 0)",0.986,0.969,0.913,8075971
"(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.03, 0)","(0.03, 0)","(0.0, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.07, 0)","(0.1, 0)","(0.0, 0)","(0.08, 0)","(0.1, 0)","(0.1, 0)","(0.1, 0)",0.986,0.969,0.913,8075971
"(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.0, 0)","(0.03, 0)","(0.03, 0)","(0.0, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.02, 0)","(0.03, 0)","(0.03, 0)","(0.08, 0)","(0.1, 0)","(0.0, 0)","(0.08, 0)","(0.1, 0)","(0.1, 0)","(0.1, 0)",0.984,0.967,0.9112,8070793
