Layer Name,Total Weights,Non-Zero Weights,Sparsity,Group,Kernel Size,Output Filters
layer1.0.conv1,36864,18860,0.4883897569444444,layer1,3x3,64
layer1.0.conv2,36864,21389,0.4197862413194444,layer1,3x3,64
layer1.1.conv1,36864,22372,0.3931206597222222,layer1,3x3,64
layer1.1.conv2,36864,21879,0.406494140625,layer1,3x3,64
layer1.2.conv1,36864,22491,0.389892578125,layer1,3x3,64
layer1.2.conv2,36864,21529,0.41598849826388884,layer1,3x3,64
layer2.0.conv1,73728,42528,0.42317708333333337,layer2,3x3,128
layer2.0.conv2,147456,75431,0.4884507921006944,layer2,3x3,128
layer2.0.downsample.0,8192,5629,0.3128662109375,layer2,1x1,128
layer2.1.conv1,147456,70753,0.5201755099826388,layer2,3x3,128
layer2.1.conv2,147456,73229,0.5033840603298612,layer2,3x3,128
layer2.2.conv1,147456,75163,0.49026828342013884,layer2,3x3,128
layer2.2.conv2,147456,74820,0.49259440104166663,layer2,3x3,128
layer2.3.conv1,147456,79977,0.45762125651041663,layer2,3x3,128
layer2.3.conv2,147456,70874,0.5193549262152778,layer2,3x3,128
layer3.0.conv1,294912,153646,0.4790106879340278,layer3,3x3,256
layer3.0.conv2,589824,284366,0.5178799099392362,layer3,3x3,256
layer3.0.downsample.0,32768,20492,0.3746337890625,layer3,1x1,256
layer3.1.conv1,589824,241898,0.5898810492621528,layer3,3x3,256
layer3.1.conv2,589824,246749,0.5816565619574653,layer3,3x3,256
layer3.2.conv1,589824,249332,0.5772772894965278,layer3,3x3,256
layer3.2.conv2,589824,242344,0.5891248914930556,layer3,3x3,256
layer3.3.conv1,589824,247946,0.5796271430121528,layer3,3x3,256
layer3.3.conv2,589824,226984,0.6151665581597222,layer3,3x3,256
layer3.4.conv1,589824,254182,0.5690544976128472,layer3,3x3,256
layer3.4.conv2,589824,231561,0.6074066162109375,layer3,3x3,256
layer3.5.conv1,589824,261242,0.5570848253038194,layer3,3x3,256
layer3.5.conv2,589824,240502,0.5922478569878472,layer3,3x3,256
layer4.0.conv1,1179648,554400,0.530029296875,layer4,3x3,512
layer4.0.conv2,2359296,934628,0.6038530137803819,layer4,3x3,512
layer4.0.downsample.0,131072,73672,0.43792724609375,layer4,1x1,512
layer4.1.conv1,2359296,900437,0.6183450486924913,layer4,3x3,512
layer4.1.conv2,2359296,805215,0.6587053934733074,layer4,3x3,512
layer4.2.conv1,2359296,923300,0.6086544460720487,layer4,3x3,512
layer4.2.conv2,2359296,729818,0.6906628078884549,layer4,3x3,512
